zpid,price_last_sold,date_last_sold,zipcode,city,street,year_built,lot_size,home_size,bathrooms,bedrooms,longitude,latitude,walkscore
14316609,1374950,2/28/17,30339,Atlanta,2727 Lansdowne Ln SE,2005,22141,5370,6,6,-84.472679,33.85014,3
35900163,1355000,6/29/16,30309,Atlanta,138 Brighton Rd NE,1925,8398,3280,3,4,-84.388161,33.809982,63
35898658,1350000,7/21/16,30309,Atlanta,289 9th St NE,1909,13068,4000,4,4,-84.377823,33.780332,87
35918934,1350000,1/31/17,30306,Atlanta,1227 Lanier Blvd NE,2016,8267,4346,6,6,-84.349467,33.788261,59
35932744,1349000,8/17/16,30305,Atlanta,331 Peachtree Ave NE,2016,10018,4245,5,5,-84.376855,33.834408,84
65470018,1349000,6/30/16,30342,Atlanta,15 Brookside Walk,2005,21780,4500,6,5,-84.387487,33.892662,52
35895695,1340000,6/15/16,30306,Atlanta,1100 Virginia Ave NE,2005,9147,5496,6,5,-84.351292,33.782215,77
35917247,1335000,10/21/16,30327,Atlanta,1287 Battleview Dr NW,2015,18034,4808,5,5,-84.429552,33.824935,14
98001599,1335000,6/4/16,30318,Atlanta,2030 Springlake Ct NW,2010,9148,6450,8,5,-84.409991,33.809847,63
35930386,1325000,5/2/16,30306,Atlanta,761 San Antonio Dr NE,2014,9448,3600,5,5,-84.362324,33.788756,48
35918848,1325000,2/10/17,30306,Atlanta,1281 Lanier Pl NE,1935,8751,4007,5,6,-84.35336,33.789596,61
35895514,1315000,10/31/16,30306,Atlanta,1026 Kentucky Ave NE,1930,7492,3861,5,5,-84.353623,33.784711,79
35896200,1314562,10/17/16,30305,Atlanta,178 Lakeview Ave NE,1999,16596,3956,3,3,-84.381577,33.824959,49
35917412,1307500,1/25/17,30327,Atlanta,1385 Wesley Cir NW,1990,17498,4845,5,5,-84.432259,33.833165,14
2100358517,1300000,5/9/16,30309,Atlanta,1065 Peachtree St NE UNIT 3002,2010,0,2288,3,3,-84.383456,33.783683,94
35896111,1300000,5/28/16,30305,Atlanta,258 Peachtree Way NE,2016,7405,4075,5,6,-84.378932,33.827204,44
35918583,1300000,6/4/16,30306,Atlanta,1379 Northview Ave NE,2007,10724,4290,5,5,-84.358171,33.792471,53
35907208,1300000,11/15/16,30305,Atlanta,447 Valley Rd NW,1949,32116,4477,5,4,-84.402457,33.85814,1
35921887,1300000,12/28/16,30327,Atlanta,3058 Plymstock Ln NW,1997,44431,5951,7,5,-84.450278,33.838798,2
2141000798,1300000,7/22/16,30318,Atlanta,2035 Springlake Ct,2008,0,6500,5,5,-84.40937,33.80994,63
97988754,1300000,7/22/16,30318,Atlanta,2035 Springlake Ct NW,2008,9147,6795,6,6,-84.409373,33.809941,63
92192908,1299000,12/29/16,30308,Atlanta,855 Peachtree St NE UNIT 3601,2008,0,2207,2,2,-84.384273,33.77802,93
35895145,1299000,10/11/16,30306,Atlanta,970 Los Angeles Ave NE,2006,7405,3292,5,5,-84.355583,33.784142,79
35930369,1295000,8/15/16,30306,Atlanta,826 Hillpine Dr NE,2007,8398,3738,4,5,-84.359926,33.79351,46
14521497,1295000,3/9/17,30306,Atlanta,1675 Noble Dr NE,1933,13068,3774,5,5,-84.345805,33.800228,41
35914467,1293500,10/14/16,30327,Atlanta,60 Asheworth Ct NW,1993,15812,4669,6,4,-84.418107,33.848038,9
14316569,1292000,6/14/16,30339,Atlanta,2752 Lansdowne Ln SE,1998,23958,4676,5,5,-84.47403,33.850256,1
14316622,1289000,11/17/16,30339,Atlanta,2730 Orchard Knob SE,2001,26136,5228,5,5,-84.474555,33.850704,1
35907815,1285000,5/27/16,30305,Atlanta,495 Westover Dr NW,1930,46810,3975,4,4,-84.404356,33.82744,13
35921802,1285000,3/3/17,30327,Atlanta,2886 Rivermeade Dr NW,1973,32931,4658,5,4,-84.452029,33.834065,0
35914878,1285000,10/14/16,30327,Atlanta,985 Dawn View Ln NW,2012,20473,5070,5,5,-84.418688,33.829071,13
2100365189,1280000,4/25/16,30309,Atlanta,1065 Peachtree St NE UNIT 2805,2010,0,2289,2,2,-84.383456,33.783683,94
35897588,1280000,9/14/16,30309,Atlanta,239 Beverly Rd NE,2007,12937,5524,6,5,-84.379343,33.796412,58
35925590,1275000,2/27/17,30306,Atlanta,1038 E Rock Springs Rd NE,1922,14375,1628,2,3,-84.353244,33.797786,51
35910986,1275000,9/26/16,30327,Atlanta,2914 Arden Rd NW,1950,21954,4500,4,4,-84.408325,33.834574,14
35901409,1275000,5/2/16,30305,Atlanta,2638 Rivers Rd NW,1916,29185,4698,4,3,-84.390657,33.826705,57
14565988,1275000,8/18/16,30319,Brookhaven,2837 Redding Rd NE,2015,33976,4811,5,5,-84.323337,33.870709,15
35895453,1273000,9/8/16,30306,Atlanta,1185 Lanier Blvd NE,2006,8250,4404,6,6,-84.349495,33.787134,62
35914535,1270000,6/23/16,30327,Atlanta,3055 Westminster Cir NW,2015,16199,4106,5,5,-84.423679,33.838207,28
35907792,1270000,7/11/16,30305,Atlanta,566 Arden Oak Ct NW,1993,19819,6260,6,4,-84.406368,33.835221,15
35942319,1266500,12/2/16,30342,Atlanta,21 Rose Gate Dr NE,1994,23522,6108,6,5,-84.385832,33.864812,20
35899698,1255000,11/15/16,30309,Atlanta,38 Huntington Rd NE,1923,11399,3877,4,4,-84.391229,33.802882,68
35932874,1250000,9/21/16,30305,Atlanta,365 Brentwood Ter NE,1967,0,2850,3,4,-84.375654,33.831183,57
35901416,1250000,1/19/17,30305,Atlanta,2645 Rivers Rd NW,1930,33798,3002,3,4,-84.389458,33.826772,57
35900351,1250000,12/13/16,30319,Atlanta,4104 Club Dr NE,1949,33671,3908,5,4,-84.356245,33.867656,15
35921935,1250000,1/6/17,30327,Atlanta,2660 W Wesley Rd NW,1968,79244,4237,5,4,-84.448295,33.843243,1
14649832,1250000,5/4/16,30022,Alpharetta,8955 Old Southwick Pass,1992,87555,7100,6,5,-84.250009,34.001147,3
35913611,1250000,12/16/16,30327,Atlanta,210 N Chambord Dr NW,1988,76665,7358,5,6,-84.417996,33.885608,12
35913468,1250000,6/7/16,30327,Atlanta,915 Reds Ridge Ct,1988,28444,7562,5,5,-84.418204,33.903123,9
14520894,1249000,3/24/17,30306,Atlanta,1206 Mclynn Ave NE,2009,13068,4295,6,6,-84.348539,33.789348,51
125977864,1248202,1/29/17,30338,Dunwoody,1880 Walbury Dr,2017,15500,6823,9,7,-84.31738,33.93946,20
35914374,1243100,6/21/16,30327,Atlanta,3550 Rembrandt Rd NW,1958,45737,4258,6,6,-84.418717,33.851898,23
